KNESER GRAPH (9,2)
Metric dimension: 6 BIGSINDEX : 510

{1, 3, 4, 18, 19, 20}
{1, 3, 4, 18, 19, 21}
{1, 3, 4, 18, 20, 21}
{1, 3, 4, 19, 20, 21}
{1, 3, 5, 17, 19, 20}
{1, 3, 5, 17, 19, 21}
{1, 3, 5, 17, 20, 21}
{1, 3, 5, 19, 20, 21}
{1, 3, 6, 17, 18, 20}
{1, 3, 6, 17, 18, 21}
{1, 3, 6, 17, 20, 21}
{1, 3, 6, 18, 20, 21}
{1, 3, 7, 17, 18, 19}
{1, 3, 7, 17, 18, 21}
{1, 3, 7, 17, 19, 21}
{1, 3, 7, 18, 19, 21}
{1, 3, 8, 17, 18, 19}
{1, 3, 8, 17, 18, 20}
{1, 3, 8, 17, 19, 20}
{1, 3, 8, 18, 19, 20}
{1, 4, 5, 16, 19, 20}
{1, 4, 5, 16, 19, 21}
{1, 4, 5, 16, 20, 21}
{1, 4, 5, 19, 20, 21}
{1, 4, 6, 16, 18, 20}
{1, 4, 6, 16, 18, 21}
{1, 4, 6, 16, 20, 21}
{1, 4, 6, 18, 20, 21}
{1, 4, 7, 16, 18, 19}
{1, 4, 7, 16, 18, 21}
{1, 4, 7, 16, 19, 21}
{1, 4, 7, 18, 19, 21}
{1, 4, 8, 16, 18, 19}
{1, 4, 8, 16, 18, 20}
{1, 4, 8, 16, 19, 20}
{1, 4, 8, 18, 19, 20}
{1, 5, 6, 16, 17, 20}
{1, 5, 6, 16, 17, 21}
{1, 5, 6, 16, 20, 21}
{1, 5, 6, 17, 20, 21}
{1, 5, 7, 16, 17, 19}
{1, 5, 7, 16, 17, 21}
{1, 5, 7, 16, 19, 21}
{1, 5, 7, 17, 19, 21}
{1, 5, 8, 16, 17, 19}
{1, 5, 8, 16, 17, 20}
{1, 5, 8, 16, 19, 20}
{1, 5, 8, 17, 19, 20}
{1, 6, 7, 16, 17, 18}
{1, 6, 7, 16, 17, 21}
{1, 6, 7, 16, 18, 21}
{1, 6, 7, 17, 18, 21}
{1, 6, 8, 16, 17, 18}
{1, 6, 8, 16, 17, 20}
{1, 6, 8, 16, 18, 20}
{1, 6, 8, 17, 18, 20}
{1, 7, 8, 16, 17, 18}
{1, 7, 8, 16, 17, 19}
{1, 7, 8, 16, 18, 19}
{1, 7, 8, 17, 18, 19}
{1, 10, 11, 18, 19, 20}
{1, 10, 11, 18, 19, 21}
{1, 10, 11, 18, 20, 21}
{1, 10, 11, 19, 20, 21}
{1, 10, 12, 17, 19, 20}
{1, 10, 12, 17, 19, 21}
{1, 10, 12, 17, 20, 21}
{1, 10, 12, 19, 20, 21}
{1, 10, 13, 17, 18, 20}
{1, 10, 13, 17, 18, 21}
{1, 10, 13, 17, 20, 21}
{1, 10, 13, 18, 20, 21}
{1, 10, 14, 17, 18, 19}
{1, 10, 14, 17, 18, 21}
{1, 10, 14, 17, 19, 21}
{1, 10, 14, 18, 19, 21}
{1, 10, 15, 17, 18, 19}
{1, 10, 15, 17, 18, 20}
{1, 10, 15, 17, 19, 20}
{1, 10, 15, 18, 19, 20}
{1, 11, 12, 16, 19, 20}
{1, 11, 12, 16, 19, 21}
{1, 11, 12, 16, 20, 21}
{1, 11, 12, 19, 20, 21}
{1, 11, 13, 16, 18, 20}
{1, 11, 13, 16, 18, 21}
{1, 11, 13, 16, 20, 21}
{1, 11, 13, 18, 20, 21}
{1, 11, 14, 16, 18, 19}
{1, 11, 14, 16, 18, 21}
{1, 11, 14, 16, 19, 21}
{1, 11, 14, 18, 19, 21}
{1, 11, 15, 16, 18, 19}
{1, 11, 15, 16, 18, 20}
{1, 11, 15, 16, 19, 20}
{1, 11, 15, 18, 19, 20}
{1, 12, 13, 16, 17, 20}
{1, 12, 13, 16, 17, 21}
{1, 12, 13, 16, 20, 21}
{1, 12, 13, 17, 20, 21}
{1, 12, 14, 16, 17, 19}
{1, 12, 14, 16, 17, 21}
{1, 12, 14, 16, 19, 21}
{1, 12, 14, 17, 19, 21}
{1, 12, 15, 16, 17, 19}
{1, 12, 15, 16, 17, 20}
{1, 12, 15, 16, 19, 20}
{1, 12, 15, 17, 19, 20}
{1, 13, 14, 16, 17, 18}
{1, 13, 14, 16, 17, 21}
{1, 13, 14, 16, 18, 21}
{1, 13, 14, 17, 18, 21}
{1, 13, 15, 16, 17, 18}
{1, 13, 15, 16, 17, 20}
{1, 13, 15, 16, 18, 20}
{1, 13, 15, 17, 18, 20}
{1, 14, 15, 16, 17, 18}
{1, 14, 15, 16, 17, 19}
{1, 14, 15, 16, 18, 19}
{1, 14, 15, 17, 18, 19}
{2, 3, 4, 12, 13, 14}
{2, 3, 4, 12, 13, 15}
{2, 3, 4, 12, 14, 15}
{2, 3, 4, 13, 14, 15}
{2, 3, 5, 11, 13, 14}
{2, 3, 5, 11, 13, 15}
{2, 3, 5, 11, 14, 15}
{2, 3, 5, 13, 14, 15}
{2, 3, 6, 11, 12, 14}
{2, 3, 6, 11, 12, 15}
{2, 3, 6, 11, 14, 15}
{2, 3, 6, 12, 14, 15}
{2, 3, 7, 11, 12, 13}
{2, 3, 7, 11, 12, 15}
{2, 3, 7, 11, 13, 15}
{2, 3, 7, 12, 13, 15}
{2, 3, 8, 11, 12, 13}
{2, 3, 8, 11, 12, 14}
{2, 3, 8, 11, 13, 14}
{2, 3, 8, 12, 13, 14}
{2, 4, 5, 10, 13, 14}
{2, 4, 5, 10, 13, 15}
{2, 4, 5, 10, 14, 15}
{2, 4, 5, 13, 14, 15}
{2, 4, 6, 10, 12, 14}
{2, 4, 6, 10, 12, 15}
{2, 4, 6, 10, 14, 15}
{2, 4, 6, 12, 14, 15}
{2, 4, 7, 10, 12, 13}
{2, 4, 7, 10, 12, 15}
{2, 4, 7, 10, 13, 15}
{2, 4, 7, 12, 13, 15}
{2, 4, 8, 10, 12, 13}
{2, 4, 8, 10, 12, 14}
{2, 4, 8, 10, 13, 14}
{2, 4, 8, 12, 13, 14}
{2, 5, 6, 10, 11, 14}
{2, 5, 6, 10, 11, 15}
{2, 5, 6, 10, 14, 15}
{2, 5, 6, 11, 14, 15}
{2, 5, 7, 10, 11, 13}
{2, 5, 7, 10, 11, 15}
{2, 5, 7, 10, 13, 15}
{2, 5, 7, 11, 13, 15}
{2, 5, 8, 10, 11, 13}
{2, 5, 8, 10, 11, 14}
{2, 5, 8, 10, 13, 14}
{2, 5, 8, 11, 13, 14}
{2, 6, 7, 10, 11, 12}
{2, 6, 7, 10, 11, 15}
{2, 6, 7, 10, 12, 15}
{2, 6, 7, 11, 12, 15}
{2, 6, 8, 10, 11, 12}
{2, 6, 8, 10, 11, 14}
{2, 6, 8, 10, 12, 14}
{2, 6, 8, 11, 12, 14}
{2, 7, 8, 10, 11, 12}
{2, 7, 8, 10, 11, 13}
{2, 7, 8, 10, 12, 13}
{2, 7, 8, 11, 12, 13}
{2, 10, 11, 12, 19, 20}
{2, 10, 11, 12, 19, 21}
{2, 10, 11, 12, 20, 21}
{2, 10, 11, 13, 18, 20}
{2, 10, 11, 13, 18, 21}
{2, 10, 11, 13, 20, 21}
